review,rating,platform
"Delivery was late but quality is good",3,Amazon
"Packaging was damaged and support was slow",2,Flipkart
"Excellent product and fast delivery",5,Amazon
"Very bad experience, not worth the price",1,Flipkart
"Product quality is amazing but delivery was delayed",4,Amazon
"Terrible packaging and poor customer service",1,Flipkart
"Fast shipping and great quality",5,Amazon
"Product stopped working after one week",2,Flipkart
"Affordable price and good packaging",4,Amazon
"Delivery was very slow and box was broken",2,Flipkart
"Excellent customer service and quick refund",5,Amazon
"Very poor quality and waste of money",1,Flipkart
"Delivery was on time and packaging was good",4,Amazon
"Support team never responded to my complaint",1,Flipkart
"Value for money and good performance",5,Amazon
"Received wrong product and return process was slow",2,Flipkart
"Superb build quality and fast delivery",5,Amazon
"Cheap material and bad finishing",1,Flipkart
"Packaging was neat and product works perfectly",5,Amazon
"Battery drains quickly and performance is poor",2,Flipkart
"Great experience and smooth transaction",5,Amazon
"Product is okay but delivery was late",3,Flipkart
"Highly satisfied with the product quality",5,Amazon
"Item was defective and replacement took too long",1,Flipkart
"Nice design and worth the price",4,Amazon
"Customer support was rude and unhelpful",1,Flipkart
"Quick delivery and good packaging",4,Amazon
"Product arrived damaged and broken",1,Flipkart
"Very happy with the purchase",5,Amazon
"Not satisfied with the performance",2,Flipkart
"Delivery was average and product is decent",3,Amazon
"Completely disappointed with the quality",1,Flipkart
"Fantastic product and excellent service",5,Amazon
"Refund process was complicated and slow",2,Flipkart
"Quality exceeded my expectations",5,Amazon
"Wrong item delivered and no response from seller",1,Flipkart
"Product is good but packaging could be better",4,Amazon
"Late delivery and poor communication",2,Flipkart
"Really impressed with fast shipping",5,Amazon
"Item stopped working after few days",1,Flipkart
"Great value for money and nice build quality",5,Amazon
"Delivery was delayed and support was not helpful",2,Flipkart
"Very comfortable and easy to use",4,Amazon
"Poor packaging and damaged box",1,Flipkart
"Excellent performance and smooth usage",5,Amazon
"Battery backup is weak and disappointing",2,Flipkart
"Good quality and timely delivery",4,Amazon
"Product quality is below expectations",2,Flipkart
"Extremely satisfied with the service",5,Amazon
"Seller sent used product instead of new one",1,Flipkart
"Nice packaging and good customer support",4,Amazon
"Delivery took too long and product was defective",1,Flipkart
"Best purchase I have made this year",5,Amazon
"Average quality but affordable price",3,Flipkart
"Fast delivery and authentic product",5,Amazon
"Terrible experience and bad customer service",1,Flipkart
"Product works fine and delivery was smooth",4,Amazon
"Not worth the money and poor build quality",2,Flipkart
"Very satisfied with quality and packaging",5,Amazon
"Item arrived late and was not as described",2,Flipkart
