review,rating,platform,cleaned_review,sentiment
Delivery was late but quality is good,3,Amazon,delivery late quality good,neutral
Packaging was damaged and support was slow,2,Flipkart,packaging damaged support slow,negative
Excellent product and fast delivery,5,Amazon,excellent product fast delivery,positive
"Very bad experience, not worth the price",1,Flipkart,bad experience worth price,negative
Product quality is amazing but delivery was delayed,4,Amazon,product quality amazing delivery delayed,positive
Terrible packaging and poor customer service,1,Flipkart,terrible packaging poor customer service,negative
Fast shipping and great quality,5,Amazon,fast shipping great quality,positive
Product stopped working after one week,2,Flipkart,product stopped working one week,negative
Affordable price and good packaging,4,Amazon,affordable price good packaging,positive
Delivery was very slow and box was broken,2,Flipkart,delivery slow box broken,negative
Excellent customer service and quick refund,5,Amazon,excellent customer service quick refund,positive
Very poor quality and waste of money,1,Flipkart,poor quality waste money,negative
Delivery was on time and packaging was good,4,Amazon,delivery time packaging good,positive
Support team never responded to my complaint,1,Flipkart,support team never responded complaint,negative
Value for money and good performance,5,Amazon,value money good performance,positive
Received wrong product and return process was slow,2,Flipkart,received wrong product return process slow,negative
Superb build quality and fast delivery,5,Amazon,superb build quality fast delivery,positive
Cheap material and bad finishing,1,Flipkart,cheap material bad finishing,negative
Packaging was neat and product works perfectly,5,Amazon,packaging neat product work perfectly,positive
Battery drains quickly and performance is poor,2,Flipkart,battery drain quickly performance poor,negative
Great experience and smooth transaction,5,Amazon,great experience smooth transaction,positive
Product is okay but delivery was late,3,Flipkart,product okay delivery late,neutral
Highly satisfied with the product quality,5,Amazon,highly satisfied product quality,positive
Item was defective and replacement took too long,1,Flipkart,item defective replacement took long,negative
Nice design and worth the price,4,Amazon,nice design worth price,positive
Customer support was rude and unhelpful,1,Flipkart,customer support rude unhelpful,negative
Quick delivery and good packaging,4,Amazon,quick delivery good packaging,positive
Product arrived damaged and broken,1,Flipkart,product arrived damaged broken,negative
Very happy with the purchase,5,Amazon,happy purchase,positive
Not satisfied with the performance,2,Flipkart,satisfied performance,negative
Delivery was average and product is decent,3,Amazon,delivery average product decent,neutral
Completely disappointed with the quality,1,Flipkart,completely disappointed quality,negative
Fantastic product and excellent service,5,Amazon,fantastic product excellent service,positive
Refund process was complicated and slow,2,Flipkart,refund process complicated slow,negative
Quality exceeded my expectations,5,Amazon,quality exceeded expectation,positive
Wrong item delivered and no response from seller,1,Flipkart,wrong item delivered response seller,negative
Product is good but packaging could be better,4,Amazon,product good packaging could better,positive
Late delivery and poor communication,2,Flipkart,late delivery poor communication,negative
Really impressed with fast shipping,5,Amazon,really impressed fast shipping,positive
Item stopped working after few days,1,Flipkart,item stopped working day,negative
Great value for money and nice build quality,5,Amazon,great value money nice build quality,positive
Delivery was delayed and support was not helpful,2,Flipkart,delivery delayed support helpful,negative
Very comfortable and easy to use,4,Amazon,comfortable easy use,positive
Poor packaging and damaged box,1,Flipkart,poor packaging damaged box,negative
Excellent performance and smooth usage,5,Amazon,excellent performance smooth usage,positive
Battery backup is weak and disappointing,2,Flipkart,battery backup weak disappointing,negative
Good quality and timely delivery,4,Amazon,good quality timely delivery,positive
Product quality is below expectations,2,Flipkart,product quality expectation,negative
Extremely satisfied with the service,5,Amazon,extremely satisfied service,positive
Seller sent used product instead of new one,1,Flipkart,seller sent used product instead new one,negative
Nice packaging and good customer support,4,Amazon,nice packaging good customer support,positive
Delivery took too long and product was defective,1,Flipkart,delivery took long product defective,negative
Best purchase I have made this year,5,Amazon,best purchase made year,positive
Average quality but affordable price,3,Flipkart,average quality affordable price,neutral
Fast delivery and authentic product,5,Amazon,fast delivery authentic product,positive
Terrible experience and bad customer service,1,Flipkart,terrible experience bad customer service,negative
Product works fine and delivery was smooth,4,Amazon,product work fine delivery smooth,positive
Not worth the money and poor build quality,2,Flipkart,worth money poor build quality,negative
Very satisfied with quality and packaging,5,Amazon,satisfied quality packaging,positive
Item arrived late and was not as described,2,Flipkart,item arrived late described,negative
